ep,objects,boxes,target,dest,instruction
1,cyan_cube,black,cyan_cube,black,Pick up the block and place it in the box
2,red_cube,gray,red_cube,gray,Pick up the block and place it in the box
3,purple_cube,brown,purple_cube,brown,Pick up the block and place it in the box
4,"green_cube,blue_cube,yellow_cube,marker",black,blue_cube,black,Put the blue block into the black box
5,green_cube,gray,green_cube,gray,Pick up the block and place it in the box
6,"red_cube,eraser,yellow_cube,purple_cube","gray,brown",eraser,brown,Pick up the eraser and place it in the brown box
7,"marker,yellow_cube,cyan_cube,eraser",brown,yellow_cube,brown,Pick up the yellow block and place it in the brown box
8,"purple_cube,blue_cube,red_cube,marker",black,marker,black,Pick up the marker and place it in the box
9,"eraser,cyan_cube,red_cube,green_cube","black,gray",red_cube,gray,Grab the red cube and put it in the gray box
10,eraser,gray,eraser,gray,Pick up the eraser and place it in the box
11,"blue_cube,purple_cube,yellow_cube,cyan_cube","black,brown",blue_cube,brown,Move the blue block to the brown box
12,"green_cube,blue_cube,marker,yellow_cube",black,yellow_cube,black,Pick up the yellow block and place it in the box
13,"purple_cube,green_cube,eraser,marker","gray,black",purple_cube,gray,Pick up the purple cube and place it in the gray box
14,"red_cube,cyan_cube,blue_cube,green_cube","brown,gray",green_cube,brown,Move the green cube to the brown box
15,"eraser,cyan_cube,red_cube,marker","brown,black",marker,black,Grab the marker and put it in the black box
16,"yellow_cube,cyan_cube,purple_cube,blue_cube",gray,cyan_cube,gray,Pick up the cyan block and place it in the gray box
17,"purple_cube,marker,cyan_cube,green_cube",black,cyan_cube,black,Put the cyan cube into the box
18,"yellow_cube,red_cube,eraser,blue_cube","gray,brown",red_cube,brown,Pick up the red block and place it in the brown box
19,"eraser,blue_cube,purple_cube,green_cube","brown,black",eraser,brown,Pick up the eraser and place it in the brown box
20,"marker,blue_cube,red_cube,eraser","black,gray",blue_cube,black,Put the blue cube into the black box
21,"purple_cube,green_cube,red_cube,yellow_cube",gray,purple_cube,gray,Put the purple cube into the box
22,"yellow_cube,cyan_cube,red_cube,marker",brown,marker,brown,Pick up the marker and place it in the box
23,"green_cube,eraser,marker,yellow_cube","gray,black",yellow_cube,black,Grab the yellow cube and put it in the black box
24,"purple_cube,green_cube,blue_cube,cyan_cube","gray,brown",green_cube,gray,Pick up the green cube and place it in the gray box
25,"yellow_cube,red_cube,cyan_cube,eraser","brown,gray",yellow_cube,gray,Pick up the yellow cube and place it in the gray box
26,"eraser,purple_cube,marker,red_cube",black,purple_cube,black,Pick up the purple block and place it in the box
27,"green_cube,cyan_cube,blue_cube,yellow_cube",brown,green_cube,brown,Pick up the green cube and place it in the brown box
28,"blue_cube,purple_cube,marker,red_cube",gray,red_cube,gray,Put the red cube into the gray box
29,"yellow_cube,blue_cube,marker,cyan_cube","black,brown",marker,black,Pick up the marker and place it in the black box
30,cyan_cube,brown,cyan_cube,brown,Pick up the block and place it in the box
31,"purple_cube,blue_cube,eraser,green_cube","gray,black",eraser,gray,Grab the eraser and put it in the gray box
32,"blue_cube,eraser,red_cube,marker",brown,blue_cube,brown,Pick up the blue block and place it in the box
33,"green_cube,purple_cube,red_cube,yellow_cube","black,brown",yellow_cube,black,Put the yellow block into the black box
34,"purple_cube,cyan_cube,green_cube,marker","black,gray",marker,gray,Put the marker into the gray box
35,"yellow_cube,cyan_cube,red_cube,green_cube","brown,gray",red_cube,brown,Pick up the red block and place it in the brown box
36,"eraser,cyan_cube,marker,purple_cube","brown,black",cyan_cube,black,Move the cyan cube to the black box
37,"yellow_cube,blue_cube,green_cube,eraser","gray,brown",eraser,gray,Put the eraser into the gray box
38,"eraser,red_cube,purple_cube,yellow_cube","black,brown",purple_cube,brown,Pick up the purple cube and place it in the brown box
39,"blue_cube,red_cube,marker,eraser","black,gray",blue_cube,black,Move the blue block to the black box
40,"green_cube,red_cube,marker,cyan_cube","brown,gray",green_cube,brown,Pick up the green cube and place it in the brown box
41,"blue_cube,yellow_cube,purple_cube,red_cube","gray,black",red_cube,black,Grab the red cube and put it in the black box
42,"purple_cube,blue_cube,cyan_cube,eraser",gray,cyan_cube,gray,Pick up the cyan block and place it in the gray box
43,"marker,cyan_cube,blue_cube,green_cube",gray,blue_cube,gray,Pick up the blue block and place it in the box
44,"marker,purple_cube,yellow_cube,eraser","brown,black",purple_cube,brown,Pick up the purple block and place it in the brown box
45,"purple_cube,yellow_cube,green_cube,marker",black,marker,black,Put the marker into the box
46,"eraser,red_cube,yellow_cube,green_cube","gray,black",green_cube,black,Grab the green block and put it in the black box
47,"marker,blue_cube,yellow_cube,cyan_cube",gray,yellow_cube,gray,Put the yellow block into the gray box
48,"cyan_cube,eraser,blue_cube,green_cube","brown,gray",eraser,brown,Pick up the eraser and place it in the brown box
49,blue_cube,gray,blue_cube,gray,Pick up the block and place it in the box
50,"purple_cube,cyan_cube,green_cube,eraser",black,eraser,black,Move the eraser to the black box
51,"marker,purple_cube,red_cube,cyan_cube",brown,red_cube,brown,Move the red cube to the box
52,"eraser,marker,yellow_cube,red_cube",black,yellow_cube,black,Pick up the yellow block and place it in the black box
53,"blue_cube,purple_cube,red_cube,yellow_cube",gray,purple_cube,gray,Grab the purple block and put it in the box
54,"red_cube,green_cube,eraser,cyan_cube",brown,cyan_cube,brown,Pick up the cyan cube and place it in the box
55,"purple_cube,marker,green_cube,blue_cube","black,brown",green_cube,brown,Grab the green cube and put it in the brown box
56,"yellow_cube,eraser,green_cube,marker","brown,gray",marker,gray,Pick up the marker and place it in the gray box
57,"green_cube,blue_cube,cyan_cube,red_cube",black,red_cube,black,Grab the red block and put it in the box
58,"yellow_cube,marker,cyan_cube,purple_cube","brown,black",marker,brown,Pick up the marker and place it in the brown box
59,"blue_cube,yellow_cube,purple_cube,eraser","black,gray",eraser,black,Grab the eraser and put it in the black box
60,"yellow_cube,red_cube,cyan_cube,eraser",gray,cyan_cube,gray,Put the cyan cube into the box
61,"red_cube,green_cube,marker,purple_cube",brown,purple_cube,brown,Pick up the purple block and place it in the box
62,"blue_cube,cyan_cube,green_cube,yellow_cube",black,yellow_cube,black,Put the yellow block into the box
63,"green_cube,marker,eraser,red_cube",gray,green_cube,gray,Grab the green cube and put it in the gray box
64,"purple_cube,eraser,blue_cube,red_cube","black,gray",blue_cube,black,Grab the blue cube and put it in the black box
65,"blue_cube,marker,yellow_cube,cyan_cube","brown,black",marker,brown,Pick up the marker and place it in the brown box
66,"eraser,red_cube,purple_cube,blue_cube","gray,brown",blue_cube,gray,Pick up the blue cube and place it in the gray box
67,"red_cube,cyan_cube,purple_cube,green_cube",gray,red_cube,gray,Put the red cube into the gray box
68,eraser,brown,eraser,brown,Pick up the eraser and place it in the brown box
69,"green_cube,purple_cube,marker,yellow_cube","black,gray",yellow_cube,black,Pick up the yellow block and place it in the black box
70,"cyan_cube,purple_cube,eraser,marker","brown,gray",cyan_cube,gray,Pick up the cyan block and place it in the gray box
71,green_cube,black,green_cube,black,Move the green block to the box
72,"yellow_cube,purple_cube,blue_cube,cyan_cube","black,brown",purple_cube,brown,Pick up the purple cube and place it in the brown box
73,"purple_cube,cyan_cube,red_cube,yellow_cube",gray,purple_cube,gray,Pick up the purple cube and place it in the gray box
74,"blue_cube,marker,red_cube,eraser",black,marker,black,Put the marker into the black box
75,"marker,yellow_cube,blue_cube,green_cube","brown,black",blue_cube,brown,Pick up the blue block and place it in the brown box
76,"eraser,cyan_cube,blue_cube,red_cube","gray,black",cyan_cube,black,Pick up the cyan cube and place it in the black box
77,"yellow_cube,marker,red_cube,green_cube",brown,red_cube,brown,Put the red cube into the box
78,green_cube,gray,green_cube,gray,Pick up the block and place it in the box
