# 잔여 131ep 중 블록-박스 근접 우선 선별 (호모그래피 복원 좌표 기준)
# ep_name  dist_m  block_r  block_theta
v3_4/file-090  0.0722  0.3238  +0.7252
v3_4/file-016  0.0738  0.2155  -0.2211
v3_3/file-007  0.0827  0.2172  -0.1423
v3_4/file-082  0.0835  0.2312  -0.4388
v3_4/file-091  0.0838  0.2896  +0.8808
v3_3/file-016  0.0902  0.2070  -0.1575
v3_4/file-085  0.0929  0.2625  +0.2721
v3_4/file-072  0.0946  0.2963  -0.4935
v3_3/file-018  0.0956  0.2783  -0.1041
v3_4/file-018  0.0959  0.2785  -0.1016
v3_4/file-009  0.1034  0.2207  +0.3278
v3_4/file-048  0.1070  0.3275  -0.5849
v3_4/file-051  0.1085  0.3206  -0.5071
v3_4/file-074  0.1103  0.2567  +0.9320
v3_4/file-063  0.1114  0.2033  +1.0853
v3_4/file-056  0.1121  0.3289  -0.1676
v3_4/file-030  0.1212  0.2604  +0.1174
v3_4/file-093  0.1250  0.2159  -0.4034
v3_3/file-008  0.1272  0.3508  +0.3457
v3_4/file-007  0.1277  0.3483  +0.3413
v3_4/file-002  0.1314  0.2340  -0.4152
v3_4/file-013  0.1345  0.3153  +0.4093
v3_3/file-010  0.1349  0.3073  -0.3883
v3_4/file-008  0.1354  0.3062  -0.3849
v3_3/file-000  0.1360  0.2805  -0.4700
v3_4/file-092  0.1432  0.1629  +0.6581
v3_4/file-070  0.1454  0.2623  -0.3438
v3_4/file-024  0.1476  0.2133  -0.1559
v3_4/file-071  0.1499  0.2350  +1.0236
v3_4/file-039  0.1504  0.3274  +0.1133
v3_4/file-099  0.1549  0.3929  +0.6338
v3_4/file-095  0.1554  0.1686  +0.7616
v3_4/file-057  0.1562  0.2354  +0.1112
v3_4/file-096  0.1630  0.2370  +0.1760
v3_4/file-036  0.1640  0.2944  +0.2267
